Estimate Status,Year,Wave,Common Name,Fishing Mode,Fishing Area,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2003,MARCH/APRIL,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),333,99,3340,.,1515,.,0,0%,0%,0%
FINAL,2004,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),406,99.1,3316,.,1504,.,0,0%,0%,0%
FINAL,2005,MARCH/APRIL,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),314,99.4,0,.,0,.,314,0%,0%,0%
FINAL,2005,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1160,100.2,7670,.,3479,.,0,0%,0%,0%
FINAL,2007,SEPTEMBER/OCTOBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),674,70.8,4458,.,2022,.,0,0%,0%,0%
FINAL,2007,SEPTEMBER/OCTOBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1378,100,0,.,0,.,1378,0%,0%,0%
FINAL,2007,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),254,100,0,.,0,.,254,0%,0%,0%
FINAL,2008,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1072,72.4,0,.,0,.,1072,0%,0%,0%
FINAL,2009,JANUARY/FEBRUARY,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),174,100,0,.,0,.,174,0%,0%,0%
FINAL,2009,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),161,100.1,3161,.,1434,.,0,0%,0%,0%
FINAL,2010,SEPTEMBER/OCTOBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),824,99.4,13175,99.5,5976,99.5,0,0%,0%,0%
FINAL,2010,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),518,100.2,2327,.,1056,.,0,0%,0%,0%
FINAL,2011,SEPTEMBER/OCTOBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),334,100.3,7836,100.1,3554,100.1,0,0%,0%,0%
FINAL,2012,JANUARY/FEBRUARY,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),220,99.1,1541,.,699,.,0,0%,0%,0%
FINAL,2012,JANUARY/FEBRUARY,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),222,100.1,0,.,0,.,222,0%,0%,0%
FINAL,2012,MARCH/APRIL,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),233,100.2,769,.,349,.,0,0%,0%,0%
FINAL,2012,JULY/AUGUST,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),161,100.2,940,100.2,426,100.2,0,0%,0%,0%
FINAL,2012,JULY/AUGUST,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),173,99.7,1013,99.7,459,99.7,0,0%,0%,0%
FINAL,2012,SEPTEMBER/OCTOBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),229,100,0,.,0,.,229,0%,0%,0%
FINAL,2012,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),187,98.7,1235,.,560,.,0,0%,0%,0%
FINAL,2013,MARCH/APRIL,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),164,100,0,.,0,.,164,0%,0%,0%
FINAL,2013,MARCH/APRIL,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),626,78.4,5655,.,2565,.,0,0%,0%,0%
FINAL,2013,MAY/JUNE,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),152,100.2,1064,.,483,.,0,0%,0%,0%
