Year,Catch,UnrepCatch,CPUE_1,CPUE_1_rel_CV,CPUE_2,CPUE_2_rel_CV
1948,0.2092279,0.323745337,88.20734609,2.699377345,NA,2.699377345
1949,0.35956008,0.531008328,56.48903443,2.234647348,NA,2.234647348
1950,0.30468729,0.475454032,51.55403441,1.997320743,NA,1.997320743
1951,0.32125165,0.505885085,72.06033898,2.156858849,NA,2.156858849
1952,0.30055489,0.4616831,95.55236189,2.596754841,NA,2.596754841
1953,0.25807561,0.402925755,87.76060034,2.943632682,NA,2.943632682
1954,0.27127691,0.405435634,95.69191041,3.35571277,NA,3.35571277
1955,0.223367,0.33052428,154.4651159,3.551512795,NA,3.551512795
1956,0.28135482,0.429084999,91.69537843,3.647759395,NA,3.647759395
1957,0.31805927,0.538456517,114.4027237,3.030284585,NA,3.030284585
1958,0.21107285,0.352360649,64.561298,2.929637576,NA,2.929637576
1959,0.20409194,0.312978256,55.65307657,3.687432276,NA,3.687432276
1960,0.162957,0.26591819,102.7778743,2.440618932,NA,2.440618932
1961,0.13001885,0.209186461,114.9987221,3.441328418,NA,3.441328418
1962,0.16760452,0.27934178,177.1825159,3.166983776,NA,3.166983776
1963,0.21108541,0.349412764,125.8613253,3.437232524,NA,3.437232524
1964,0.20261104,0.339995466,114.1661533,3.488941878,NA,3.488941878
1965,0.21083697,0.374634609,120.525657,3.30866408,NA,3.30866408
1966,0.18272967,0.285438933,120.6917425,3.186139903,NA,3.186139903
1967,0.23135416,0.429480487,108.3650317,2.379370313,NA,2.379370313
1968,0.19563955,0.328913562,99.21704444,2.756254153,NA,2.756254153
1969,0.1774703,0.315607785,94.74917015,2.787789606,NA,2.787789606
1970,0.15884239,0.270671087,81.02248384,3.087050066,NA,3.087050066
1971,0.1352546,0.230499518,75.13771698,2.749559557,NA,2.749559557
1972,0.22920123,0.423271433,88.43895675,2.478778003,NA,2.478778003
1973,0.169362,0.32582741,75.03977909,2.469006738,NA,2.469006738
1974,0.2262185,0.45906073,81.9573122,1.941893779,NA,1.941893779
1975,0.22383796,0.415292243,76.91456342,2.01047833,NA,2.01047833
1976,0.26569823,0.419674412,51.4033427,1,NA,1
1977,0.27821901,0.440264739,52.5876066,1.820892709,NA,1.820892709
1978,0.31034723,0.562461138,82.96740401,2.23751131,NA,2.23751131
1979,0.27399601,0.514078093,87.38467361,2.656177094,NA,2.656177094
1980,0.24455257,0.494710632,69.77296484,2.148468172,NA,2.148468172
1981,0.30838351,0.639900557,68.37182275,1.853092235,NA,1.853092235
1982,0.3294727,0.60916696,59.29342836,1.529919858,NA,1.529919858
1983,0.41067148,0.781505238,59.2485325,1.238856137,NA,1.238856137
1984,0.34385885,0.589784054,48.49198524,1.344453022,NA,1.344453022
1985,0.48502003,0.764168386,60.62059093,1.194891463,NA,1.194891463
1986,0.50980763,0.734727803,64.9679915,1.180805162,NA,1.180805162
1987,0.57977181,0.954244194,83.76251062,1.104627819,NA,1.104627819
1988,0.56699575,1.03582264,80.23674964,1.072803073,NA,1.072803073
1989,0.55935571,1.045250474,71.87075907,1.041055451,NA,1.041055451
1990,0.45667038,0.764286641,64.68462942,1.252645137,NA,1.252645137
1991,0.3253611,0.515614604,61.96633909,1.291019224,NA,1.291019224
1992,0.35984638,0.611784362,66.83627481,1.364782692,NA,1.364782692
1993,0.2539031,0.462412391,60.396957,1.480708104,NA,1.480708104
1994,0.30784372,0.585270465,68.34920601,1.498423567,NA,1.498423567
1995,0.33762798,0.638629742,68.00865958,1.499761972,NA,1.499761972
1996,0.27434421,0.491505169,64.46197238,1.512719241,NA,1.512719241
1997,0.29973765,0.550389881,65.49491482,1.419689708,NA,1.419689708
1998,0.29683814,0.484595742,65.80292816,1.414014202,NA,1.414014202
1999,0.21485725,0.313681735,65.14064131,1.553169524,NA,1.553169524
2000,0.30870944,0.441510837,72.77218622,1.376779213,NA,1.376779213
2001,0.26103939,0.308820979,72.67596235,1.533973103,NA,1.533973103
2002,0.21284536,0.22204507,68.34707933,1.675089211,NA,1.675089211
2003,0.24474086,0.270079282,61.69271612,3.753187477,8.245781032,1.23653124
2004,0.20599494,0.190831938,NA,1.202143664,7.936373927,1.202143664
2005,0.24397304,0.226072576,NA,1.193144647,8.844312294,1.193144647
2006,0.19002951,0.165567569,NA,1.389583147,8.436728702,1.389583147
2007,0.2219437,0.199934228,NA,1.342508528,8.555480526,1.342508528
2008,0.1965409,0.20518442,NA,1.246666842,9.586167813,1.246666842
2009,0.25524239,0.283130416,NA,1.048915102,9.05181685,1.048915102
2010,0.2123415,0.226317538,NA,1.264006838,8.266947488,1.264006838
2011,0.27355758,0.312694624,NA,1.220535487,9.41164315,1.220535487
2012,0.21682488,0.228396666,NA,1.24086415,8.205306381,1.24086415
2013,0.23224035,0.213111972,NA,1.124473031,8.098011111,1.124473031
2014,0.30941142,0.343125964,NA,1,9.98986513,1
2015,0.3099461,0.330433472,NA,1.038269053,12.59206757,1.038269053
2016,0.26426777,0.293288987,NA,1.461328864,13.46853906,1.461328864
2017,0.2383534,0.285269513,NA,1.560678139,11.06958728,1.560678139
2018,0.23976067,0.254115251,NA,2.378823683,11.66436348,2.378823683
